Question,Answer
කණුවකට බැලූන් බෝල 2 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,300
කණුවකට බැලූන් බෝල 3 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,200
කණුවකට බැලූන් බෝල 4 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,150
කණුවකට බැලූන් බෝල 5 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,120
කණුවකට බැලූන් බෝල 6 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,100
කණුවකට බැලූන් බෝල 8 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,75
කණුවකට බැලූන් බෝල 10 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,60
කණුවකට බැලූන් බෝල 12 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,50
කණුවකට බැලූන් බෝල 15 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,40
කණුවකට බැලූන් බෝල 20 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,30
කණුවකට බැලූන් බෝල 25 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,24
කණුවකට බැලූන් බෝල 30 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,20
කණුවකට බැලූන් බෝල 40 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,15
කණුවකට බැලූන් බෝල 50 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,12
