Question,Answer
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 210 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,2
මීටර 60 ක් දිග ඉටි රෙද්දක් ඇත මේසවලට දැමීම සදහා සමාන දිගින් යුතු කැබලි 15 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,4
පෑනක මිල රුපියල් 12 කි එවැනි පෑන් 31 ක මිල කොපමණ ද?,372
ගොඩක ගඩොල් කැට 493 ක් තිබේ එවැනි ගොඩවල් 6 ක ඇත ගඩොල් ප‍්‍රමාණය කොපමණ ද?,2958
කූඩයක නාරං ගෙඩි 2 ක් ඇත එවැනි කූඩ 19 ඇති මුළු නාරං ගෙඩි ගණන කීය ද?,38
බස් රථයක මගීන් 58 දෙනෙකුට ගමන් කළ හැකි ය එවැනි බස් රථ 158 ක ගමන් කළ හැකි මුළු මගීන් සංඛ්‍යාව කොපමණ ද?,9164
බිස්කට් 300 ක් ඇත ළමයෙකුට බිස්කට් 10 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,30
මීටර 60 ක් දිග ඉටි රෙද්දක් ඇත මේසවලට දැමීම සදහා සමාන දිගින් යුතු කැබලි 5 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,12
කඩයක මිනිසුන් 67 දෙනෙකු සිටී එවැනි කඩ 2 ක සිටින මුළු මිනිසුන් ගණන කීයද?,134
සුමුදුගේ දැන් වයස අවුරුදු 9 කි ඇගේ අක්කාගේ දැන් වයස සුමුදුගේ දැන් වයස මෙන් 13 ගුණයක්  අක්කාගේ දැන් වයස කීය ද?,117
පොත් 900 ක් ඇත අයකුට 4 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,225
බස් රථයක මගීන් 58 දෙනෙකුට ගමන් කළ හැකි ය එවැනි බස් රථ 138 ක ගමන් කළ හැකි මුළු මගීන් සංඛ්‍යාව කොපමණ ද?,7424
මාරි බිස්කට් පැකට් එකක මිල රුපියල් 100 කි පෙට්‍රෝල් ලීටර එකක මිල මාරි බිස්කට් පැකට් එකක මිල මෙන් 30 ගුණයකි  පෙට්‍රෝල් ලීටරයක මිල කීයද?,3000
මේසයක පළල මීටර 7 ක් වේ එහි දිග පළල මෙන් 42 ගුණයකි   මේසයේ දිග කොපමණ ද?,294
බස් රථයක මගීන් 58 දෙනෙකුට ගමන් කළ හැකි ය එවැනි බස් රථ 248 ක ගමන් කළ හැකි මුළු මගීන් සංඛ්‍යාව කොපමණ ද?,14384
