Question,Label
කණුවක බැලූන් බෝල 2 ක බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,Division
බිස්කට් 300 ක් ඇත. ළමයෙකුට බිස්කට් 2 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,Division
මීටර 90 ක් දිග කම්බියක් ඇත. සමාන කැබලි 2 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,Division
මීටර 60 ක් දිග ඉටි රෙද්දක් ඇත. මේසවලට දැමීම සදහා සමාන දිගින් යුතු කැබලි 2 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,Division
පැන්සල් 420 ක් ඇත. ළමයෙකුට පැන්සල් 2 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,Division
යෝගට් 720 ක් ඇත. යෝගට් 2 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,Division
කෙසෙල් ගෙඩි 840 ක් ඇත. කෙසෙල් ගෙඩි 2 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,Division
පොත් 900 ක් ඇත. අයකුට පොත් 2 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,Division
බෝල 450  ක් ඇත. බෝල 2 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,Division
අඹ ගෙඩි 1200 ක් ඇත. අඹ ගෙඩි 2 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,Division
උත්සව ශාලාවක ඇති පුටු 100 ක් ඇත. මේසයකට පුටු 2 බැගින් මේස කීයක් තැබිය හැකි ද?,Division
කූඩයක නාරං ගෙඩි 2 ක් ඇත. එවැනි කූඩ 2 ඇති මුළු නාරං ගෙඩි ගණන කීය ද?,Multiplication
එක් පෙට්ටියක පැන්සල් 4 ක් තිබේ. එවැනි පෙට්ටි 2 ඇති මුළු පැන්සල් ගණන කොපමණ ද?,Multiplication
පෑනක මිල රුපියල් 12 කි. එවැනි පෑන් 3 ක මිල කොපමණ ද?,Multiplication
මකනයක  මිල රුපියල් 20 කි. පොතක මිල මකනයක මිල මෙන් 2 ගුණයක්. පොතක මිල කොපමණ ද?,Multiplication
සුමුදුගේ දැන් වයස අවුරුදු 9 කි. ඇගේ අක්කාගේ දැන් වයස සුමුදුගේ දැන් වයස මෙන් 2 ගුණයක්. අක්කාගේ දැන් වයස කීය ද?,Multiplication
බස් රථයක මගීන් 58 දෙනෙකුට ගමන් කළ හැකි ය. එවැනි බස් රථ 58 ක ගමන් කළ හැකි මුළු මගීන් සංඛ්‍යාව කොපමණ ද?,Multiplication
පෙළකට පුටු 17 ක් තබා ඇත. එවැනි පේළි 116 ක ඇති මුළු පුටු ගණන කීය ද?,Multiplication
ගොඩක ගඩොල් කැට 493 ක් තිබේ. එවැනි ගොඩවල් 3 ක ඇත ගඩොල් ප‍්‍රමාණය කොපමණ ද?,Multiplication
සහල් මල්ලක බර කිලෝග්‍රෑම් 5 කි. ලූනු  මල්ලක බර සහල් මල්ලක බර මෙන් 4 ගුණයක්. ලූනු  මල්ලක බර කොපමණ ද?,Multiplication
